Period,T1 Interest Due,T1 Interest Paid,T1 Interest Shortfall,T1 Principal Paid,T1 Balance,T2 Interest Due,T2 Interest Paid,T2 Interest Shortfall,T2 Principal Paid,T2 Balance,Reserve Balance
0,0,0,0,0,19999999.99999969,0,0,0,0,8354374.300793641,0
1,83333.33333333205,83333.33333333205,0.0,563625.7424194696,19436374.25758022,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
2,80984.89273991759,80984.89273991759,0.0,587899.9411473755,18848474.316432845,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
3,78535.30965180353,78535.30965180353,0.0,567068.1335339051,18281406.18289894,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
4,76172.52576207892,76172.52576207892,0.0,591649.8825733875,17689756.30032555,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
5,73707.31791802314,73707.31791802314,0.0,574188.3634748155,17115567.936850738,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
6,71314.86640354474,71314.86640354474,0.0,577060.6187527267,16538507.31809801,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
7,68910.44715874172,68910.44715874172,0.0,579398.678450841,15959108.639647169,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
8,66496.28599852987,66496.28599852987,0.0,576797.873687802,15382310.765959367,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
9,64092.9615248307,64092.9615248307,0.0,579201.1981615011,14803109.567797866,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
10,61679.62319915777,61679.62319915777,0.0,593504.872800791,14209604.694997074,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
11,59206.68622915449,59206.68622915449,0.0,593303.4075825287,13616301.287414547,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
12,56734.58869756062,56734.58869756062,0.0,596106.8594043064,13020194.42801024,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
13,54250.810116709334,54250.810116709334,0.0,589724.5617918634,12430469.866218377,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
14,51793.624442576576,51793.624442576576,0.0,605882.295381793,11824587.570836583,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
15,49269.11487848577,49269.11487848577,0.0,588288.1734784214,11236299.397358164,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
16,46817.91415565901,46817.91415565901,0.0,590739.374201248,10645560.023156915,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
17,44356.50009648714,44356.50009648714,0.0,604693.880350403,10040866.142806511,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
18,41836.9422616938,41836.9422616938,0.0,601306.063990222,9439560.07881629,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
19,39331.500328401205,39331.500328401205,0.0,595543.6284673208,8844016.450348968,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
20,36850.0685431207,36850.0685431207,0.0,607046.1654438647,8236970.284905103,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
21,34320.70952043793,34320.70952043793,0.0,602546.0490540918,7634424.23585101,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
22,31810.10098271254,31810.10098271254,0.0,605606.6910953212,7028817.544755689,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
23,29286.739769815376,29286.739769815376,0.0,605443.614160178,6423373.930595512,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
24,26764.05804414797,26764.05804414797,0.0,614591.004262917,5808782.926332595,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
25,24203.26219305248,24203.26219305248,0.0,607289.9167122835,5201493.009620312,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
26,21672.88754008463,21672.88754008463,0.0,608902.0479830372,4592590.961637273,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
27,19135.79567348864,19135.79567348864,0.0,611700.398024565,3980890.5636127084,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
28,16587.044015052954,16587.044015052954,0.0,615941.7326778023,3364948.8309349064,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
29,14020.620128895445,14020.620128895445,0.0,614202.9093668773,2750745.921568029,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
30,11461.441339866788,11461.441339866788,0.0,621755.302322444,2128990.6192455846,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
31,8870.794246856605,8870.794246856605,0.0,617969.6435434801,1511020.975702105,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
32,6295.920732092097,6295.920732092097,0.0,621707.2992983509,889313.6764037523,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
33,3705.4736516823064,3705.4736516823064,0.0,624389.8387297059,264923.83767404757,55695.828671957606,55695.828671957606,0.0,0.0,8354374.300793641,0.0
34,1103.849323641866,1103.849323641866,0.0,264923.8376740478,0.0,55695.828671957606,55695.828671957606,0.0,355013.69720288937,7999360.603590752,0.0
35,0.0,0,0,0,0.0,53329.07069060501,53329.07069060501,0.0,623577.8417046448,7375782.761886107,0.0
36,0.0,0,0,0,0.0,49171.88507924072,49171.88507924072,0.0,627362.6076812991,6748420.154204808,0.0
37,0.0,0,0,0,0.0,44989.467694698724,44989.467694698724,0.0,631853.0707437141,6116567.083461094,0.0
38,0.0,0,0,0,0.0,40777.11388974063,40777.11388974063,0.0,634011.8623801976,5482555.221080896,0.0
39,0.0,0,0,0,0.0,36550.36814053931,36550.36814053931,0.0,637416.5286537338,4845138.692427162,0.0
40,0.0,0,0,0,0.0,32300.924616181084,32300.924616181084,0.0,640539.6069664519,4204599.08546071,0.0
41,0.0,0,0,0,0.0,28030.66056973807,28030.66056973807,0.0,643319.5764299358,3561279.5090307747,0.0
42,0.0,0,0,0,0.0,23741.863393538497,23741.863393538497,0.0,646784.7851459791,2914494.723884795,0.0
43,0.0,0,0,0,0.0,19429.96482589863,19429.96482589863,0.0,648693.4816526718,2265801.242232123,0.0
44,0.0,0,0,0,0.0,15105.341614880823,15105.341614880823,0.0,653635.1305729902,1612166.1116591333,0.0
45,0.0,0,0,0,0.0,10747.774077727552,10747.774077727552,0.0,658080.1103063612,954086.0013527717,0.0
46,0.0,0,0,0,0.0,6360.573342351808,6360.573342351808,0.0,661016.5308856948,293069.4704670764,0.0
47,0.0,0,0,0,0.0,1953.796469780511,1953.796469780511,0.0,293069.47046707664,0.0,370393.55652705417
48,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1036320.1789863292
49,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1701128.4341762029
50,0.0,0,0,0,0.0,0.0,0,0,0,0.0,2366169.16264884
51,0.0,0,0,0,0.0,0.0,0,0,0,0.0,2983304.53922859
52,0.0,0,0,0,0.0,0.0,0,0,0,0.0,3585125.5761667877
53,0.0,0,0,0,0.0,0.0,0,0,0,0.0,4164279.647529223
54,0.0,0,0,0,0.0,0.0,0,0,0,0.0,4718703.756603304
55,0.0,0,0,0,0.0,0.0,0,0,0,0.0,5240594.965130968
56,0.0,0,0,0,0.0,0.0,0,0,0,0.0,5732299.024212242
