Period,Balance,Interest Due,Principal Due,Recoveries,WAR,WAM
0,28354374.317749992,0,0,0,16.624698655240316,60.16372064523234
1,28044538.52048394,392819.1071587327,309835.7972660266,0.0,0,0
2,27679555.155441947,387871.10779312666,313428.1640645391,23281.390701584998,0,0
3,27361809.654158,383553.77057377424,317745.5012838921,0.0,0,0
4,26986871.669626158,378362.18565553066,321590.5300615756,23565.521290317745,0,0
5,26652134.226285428,373804.7492759477,325925.31303644535,3861.4477524032336,0,0
6,26309287.324344736,369167.077386886,330206.8547353028,4697.381706040181,0,0
7,25959265.971650604,364409.95325582457,334580.03510246536,5014.965923250375,0,0
8,25620073.442171905,359797.4588795681,339192.5294787214,0.0,0,0
9,25276204.00406154,355120.5502479154,343869.438110374,0.0,0,0
10,24892170.70068609,349937.38552530727,347992.9886818966,12949.950464702517,0,0
11,24504401.445184592,344612.1380999664,352239.5667250663,11354.217658607944,0,0
12,24106672.845797695,339118.69991561753,356632.99657552957,12785.580282677394,0,0
13,23730075.797571424,333987.2573842761,361345.6355774643,4338.307618789954,0,0
14,23294631.316034324,328032.00483011646,365221.11219874746,20118.631467463296,0,0
15,22924369.111255582,322990.9122500976,370262.20477876713,0.0,0,0
16,22548995.328956693,317879.3347299695,375373.7822988952,0.0,0,0
17,22116785.071250413,311891.7949348701,379725.9094260661,13128.504757911525,0,0
18,21697860.981012747,306163.1936382534,384407.763829427,8267.877456193102,0,0
19,21308145.072606795,300855.0490617454,389715.90840593417,0.0,0,0
20,20866307.013316564,294794.58496316435,394250.6781243057,10546.79957147292,0,0
21,20447852.192780342,289041.5458497216,399404.98652586964,4116.054870895993,0,0
22,20019319.121418394,283219.0778185561,404452.25359111506,5441.289340320282,0,0
23,19594472.890529353,277429.363309836,409671.15818582225,3325.6611062927973,0,0
24,19122869.301723074,271073.8283314867,414096.2525936839,11880.810053852085,0,0
25,18692673.53843088,265229.23884315824,419463.677938076,2496.0907960592695,0,0
26,18255979.294250023,259242.3847240044,425039.97365564044,1988.4058154346935,0,0
27,17811529.36917124,253162.4843578573,430613.38549689716,2756.152515256731,0,0
28,17342615.15877717,246806.42045835874,435810.9993919766,5607.185514477496,0,0
29,16892109.50068451,240641.7264695252,441583.85693775147,1693.7747604536014,0,0
30,16391814.116445053,233722.83646259856,446485.40179828554,8704.334073384434,0,0
31,15919729.89155492,227258.95601802465,452206.9627973597,3070.3476469098314,0,0
32,15428354.72615075,220500.22305779957,457478.1697504267,5720.655894174353,0,0
33,14920770.040073385,213563.88042252033,462394.5632422587,7832.69738856683,0,0
34,14443312.845439376,207025.18052405133,468597.203137297,1114.829211188292,0,0
35,13957198.258134982,200375.41625061273,474683.0559634522,1848.440181184864,0,0
36,13462776.076249348,193604.56816935408,480688.8697510639,2241.0548401218466,0,0
37,12951097.71118172,186610.09523438654,486548.7984728448,3683.6447311813863,0,0
38,12438561.418479245,179581.2541866667,492685.86396289157,2521.858120380003,0,0
39,11921440.349033514,172502.58731992097,498702.33994353976,2761.969530812383,0,0
40,11396166.268279899,165292.91736818323,504812.4800145023,2735.1341999473657,0,0
41,10873594.639772456,158134.6802531833,511031.2037652331,2184.352981257327,0,0
42,10339082.761380982,150826.4128693978,517297.03360917256,2403.202060947333,0,0
43,9814609.913911983,143650.59900957043,524472.847469,0.0,0,0
44,9275294.120554514,136266.8614100256,531296.5986225882,1177.0121552571093,0,0
45,8723163.265936276,128725.426164454,537769.3227375434,2333.1354820915,0,0
46,8165226.37072124,121089.96763927382,544326.8558246372,1960.2807641354825,0,0
47,7613340.179838166,113530.63258084166,551886.1908830696,0.0,0,0
48,7043870.716729683,105730.60045683074,559077.6547330419,1118.3672694025204,0,0
49,6477025.556270095,97963.09473026253,566845.1604596111,0.0,0,0
50,5898689.109129511,90032.59467889057,574386.6370960607,621.4966976859334,0,0
51,5358793.798757503,81977.6744105177,534607.8038325439,549.8983366888511,0,0
52,4827386.868711138,74482.19885986803,526588.327690665,750.5103876643012,0,0
53,4315391.843939426,67159.0465907329,511995.0247717026,0.0,0,0
54,3817715.4656818477,59955.59718228363,492337.9666537272,2130.545238070292,0,0
55,3340882.042016073,52951.347077091246,466781.85932165565,2158.002128917119,0,0
56,2888672.80488284,46326.08505107266,443661.2588871913,1716.7151430102572,0,0
57,2462597.064117095,40039.46677120831,417211.7194893465,1188.8967592451982,0,0
58,2081032.798933337,34203.218986649044,379334.02261623717,397.562540797567,0,0
59,1738641.0243469689,28929.80457981646,342391.77458637,438.50417932498027,0,0
60,1427294.0038808535,24162.07957086615,310151.7181870146,1438.5263741969127,0,0
61,1157049.3737177167,19785.818340692,266039.22583620745,1316.5163521063791,0,0
62,925759.2876226067,15991.354405715081,225253.11843187007,3057.166350322742,0,0
63,733059.8768614099,12832.90655768824,190584.82629293506,715.4034922243782,0,0
64,565239.7071543906,10184.410548934882,167374.30496852603,732.0221126080469,0,0
65,427519.1259781741,7833.632210568574,135781.0321877412,762.4982748783009,0,0
66,310981.9922444271,5931.930764233189,115198.513794618,554.2220763008681,0,0
67,215647.2127532053,4336.128656115057,95334.77949122172,0.0,0,0
68,137771.48412522563,3013.9872459330386,77875.72862797974,488.90743540202516,0,0
69,79972.17155848062,1924.3798539449404,57799.312566744986,0.0,0,0
70,31502.311513392306,1116.7841841227878,48469.86004508829,1480.5847811466144,0,0
71,4.509075779424165e-09,437.45139007178875,31502.3115133878,0.0,0,0
72,0,6.217941997773125e-11,4.509075779424165e-09,261.3543202467061,0,0
